audit - 2.8.4-r0
base-files - 3.0.14-r89
bash - 4.3.30-r0
bridge-utils - 1.5-r0
busybox - 1.24.1-r0
busybox-hwclock - 1.24.1-r0
busybox-udhcpc - 1.24.1-r0
bzip2 - 1.0.6-r5
carrier-detect - 0+git0+916b9bfc35-r0
consolekit - 0.4.6-r0.1
coreutils - 8.26-r0.1
db-tools - 0+git0+db93ba3ca9-r0
dbus-1 - 1.10.14-r0
dhcp-client - 4.3.5-r0
dnsmasq - 2.78-r0
e2fsprogs - 1.43.4-r0
e2fsprogs-badblocks - 1.43.4-r0
e2fsprogs-e2fsck - 1.43.4-r0
e2fsprogs-mke2fs - 1.43.4-r0
ethtool - 4.8-r0
eudev - 3.2.1-r0
file - 5.30-r0
glibc-binary-localedata-en-gb - 2.25-r0
glibc-binary-localedata-en-us - 2.25-r0
glibc-gconv - 2.25-r0
glibc-gconv-utf-32 - 2.25-r0
glibc-locale-en-gb - 2.25-r0
gzip - 1.8-r0
hdparm - 9.51-r0
init-ifupdown - 1.0-r7.1
initscripts - 1.0-r155.1
initscripts-functions - 1.0-r155.1
iproute2 - 4.10.0-r0.2
ipsec-tools - 0.8.2-r0
iptables - 1.6.1-r0
iputils-ping - s20151218-r0
kernel-4.14.66 - 4.14.66-r0
kernel-image-4.14.66 - 4.14.66-r0
kernel-image-bzimage-4.14.66 - 4.14.66-r0
kernel-module-8139cp-4.14.66 - 4.14.66-r0
kernel-module-8139too-4.14.66 - 4.14.66-r0
kernel-module-b43-4.14.66 - 4.14.66-r0
kernel-module-bcma-4.14.66 - 4.14.66-r0
kernel-module-bnx2-4.14.66 - 4.14.66-r0
kernel-module-btcoexist-4.14.66 - 4.14.66-r0
kernel-module-crc-itu-t-4.14.66 - 4.14.66-r0
kernel-module-dl2k-4.14.66 - 4.14.66-r0
kernel-module-e100-4.14.66 - 4.14.66-r0
kernel-module-e1000-4.14.66 - 4.14.66-r0
kernel-module-e1000e-4.14.66 - 4.14.66-r0
kernel-module-ecb-4.14.66 - 4.14.66-r0
kernel-module-eeprom-93cx6-4.14.66 - 4.14.66-r0
kernel-module-hwmon-4.14.66 - 4.14.66-r0
kernel-module-i2c-algo-bit-4.14.66 - 4.14.66-r0
kernel-module-i2c-core-4.14.66 - 4.14.66-r0
kernel-module-igb-4.14.66 - 4.14.66-r0
kernel-module-igbvf-4.14.66 - 4.14.66-r0
kernel-module-ip-tables-4.14.66 - 4.14.66-r0
kernel-module-ipt-masquerade-4.14.66 - 4.14.66-r0
kernel-module-ipt-reject-4.14.66 - 4.14.66-r0
kernel-module-iptable-filter-4.14.66 - 4.14.66-r0
kernel-module-iptable-mangle-4.14.66 - 4.14.66-r0
kernel-module-iptable-nat-4.14.66 - 4.14.66-r0
kernel-module-ipw2100-4.14.66 - 4.14.66-r0
kernel-module-ipw2200-4.14.66 - 4.14.66-r0
kernel-module-iwl3945-4.14.66 - 4.14.66-r0
kernel-module-iwl4965-4.14.66 - 4.14.66-r0
kernel-module-iwldvm-4.14.66 - 4.14.66-r0
kernel-module-iwlegacy-4.14.66 - 4.14.66-r0
kernel-module-iwlmvm-4.14.66 - 4.14.66-r0
kernel-module-iwlwifi-4.14.66 - 4.14.66-r0
kernel-module-ixgb-4.14.66 - 4.14.66-r0
kernel-module-ixgbe-4.14.66 - 4.14.66-r0
kernel-module-lib80211-4.14.66 - 4.14.66-r0
kernel-module-lib80211-crypt-ccmp-4.14.66 - 4.14.66-r0
kernel-module-lib80211-crypt-tkip-4.14.66 - 4.14.66-r0
kernel-module-lib80211-crypt-wep-4.14.66 - 4.14.66-r0
kernel-module-libcrc32c-4.14.66 - 4.14.66-r0
kernel-module-libipw-4.14.66 - 4.14.66-r0
kernel-module-libphy-4.14.66 - 4.14.66-r0
kernel-module-mdio-4.14.66 - 4.14.66-r0
kernel-module-michael-mic-4.14.66 - 4.14.66-r0
kernel-module-mii-4.14.66 - 4.14.66-r0
kernel-module-nf-conntrack-4.14.66 - 4.14.66-r0
kernel-module-nf-conntrack-ftp-4.14.66 - 4.14.66-r0
kernel-module-nf-conntrack-ipv4-4.14.66 - 4.14.66-r0
kernel-module-nf-conntrack-irc-4.14.66 - 4.14.66-r0
kernel-module-nf-conntrack-netlink-4.14.66 - 4.14.66-r0
kernel-module-nf-conntrack-sip-4.14.66 - 4.14.66-r0
kernel-module-nf-defrag-ipv4-4.14.66 - 4.14.66-r0
kernel-module-nf-nat-4.14.66 - 4.14.66-r0
kernel-module-nf-nat-ftp-4.14.66 - 4.14.66-r0
kernel-module-nf-nat-ipv4-4.14.66 - 4.14.66-r0
kernel-module-nf-nat-irc-4.14.66 - 4.14.66-r0
kernel-module-nf-nat-masquerade-ipv4-4.14.66 - 4.14.66-r0
kernel-module-nf-nat-sip-4.14.66 - 4.14.66-r0
kernel-module-nf-reject-ipv4-4.14.66 - 4.14.66-r0
kernel-module-nfnetlink-4.14.66 - 4.14.66-r0
kernel-module-nfnetlink-log-4.14.66 - 4.14.66-r0
kernel-module-pcnet32-4.14.66 - 4.14.66-r0
kernel-module-pps-core-4.14.66 - 4.14.66-r0
kernel-module-ptp-4.14.66 - 4.14.66-r0
kernel-module-qla3xxx-4.14.66 - 4.14.66-r0
kernel-module-r8169-4.14.66 - 4.14.66-r0
kernel-module-rt2400pci-4.14.66 - 4.14.66-r0
kernel-module-rt2500pci-4.14.66 - 4.14.66-r0
kernel-module-rt2x00lib-4.14.66 - 4.14.66-r0
kernel-module-rt2x00mmio-4.14.66 - 4.14.66-r0
kernel-module-rt2x00pci-4.14.66 - 4.14.66-r0
kernel-module-rt61pci-4.14.66 - 4.14.66-r0
kernel-module-rtl-pci-4.14.66 - 4.14.66-r0
kernel-module-rtl8723-common-4.14.66 - 4.14.66-r0
kernel-module-rtl8723ae-4.14.66 - 4.14.66-r0
kernel-module-rtlwifi-4.14.66 - 4.14.66-r0
kernel-module-sctp-4.14.66 - 4.14.66-r0
kernel-module-ssb-4.14.66 - 4.14.66-r0
kernel-module-tg3-4.14.66 - 4.14.66-r0
kernel-module-tun-4.14.66 - 4.14.66-r0
kernel-module-v4v-4.14.66 - git0+c0c98489b4-r0
kernel-module-x-tables-4.14.66 - 4.14.66-r0
kernel-module-xen-gntalloc-4.14.66 - 4.14.66-r0
kernel-module-xen-pciback-4.14.66 - 4.14.66-r0
kernel-module-xt-connsecmark-4.14.66 - 4.14.66-r0
kernel-module-xt-conntrack-4.14.66 - 4.14.66-r0
kernel-module-xt-mark-4.14.66 - 4.14.66-r0
kernel-module-xt-nat-4.14.66 - 4.14.66-r0
kernel-module-xt-nflog-4.14.66 - 4.14.66-r0
kernel-module-xt-physdev-4.14.66 - 4.14.66-r0
kernel-module-xt-policy-4.14.66 - 4.14.66-r0
kernel-module-xt-sctp-4.14.66 - 4.14.66-r0
kernel-module-xt-secmark-4.14.66 - 4.14.66-r0
kernel-module-xt-state-4.14.66 - 4.14.66-r0
kernel-module-xt-tcpmss-4.14.66 - 4.14.66-r0
kernel-module-xt-tcpudp-4.14.66 - 4.14.66-r0
kernel-modules - 4.14.66-r0
kmod - 23+git0+65a885df5f-r0.1
ldd - 2.25-r0
less - 487-r0
libacl1 - 2.2.52-r0
libarchive - 3.2.2-r0
libattr1 - 2.4.47-r0
libblkid1 - 2.29.1-r0
libbudgetvhd - git0+522e688b19-r0
libbz2-1 - 1.0.6-r5
libc6 - 2.25-r0
libcap-ng0 - 0.7.8-r0
libcap2 - 2.25-r0
libcom-err2 - 1.43.4-r0
libcrypto1.0.2 - 1.0.2n-r0
libdbus-1-3 - 1.10.14-r0
libdbus-glib-1-2 - 0.108-r0
libe2p2 - 1.43.4-r0
libelf1 - 0.168-r0
libestr0 - 0.1.10-r0
libexpat1 - 2.2.0-r0
libext2fs2 - 1.43.4-r0
libfastjson4 - 0.99.4-r0
libffi6 - 3.2.1-r0
libgcc1 - 6.4.0-r0
libgcrypt - 1.7.6-r0
libglib-2.0-0 - 1:2.50.3-r0
libglib-2.0-locale-en-gb - 1:2.50.3-r0
libgmp10 - 6.1.2-r0
libgnutls30 - 3.5.9-r0
libgpg-error0 - 1.26-r1
libgudev-1.0-0 - 231-r0
libicbinn-1.0-0 - 0+git0+760f5b3553-r0
libicbinn-1.0-client - 0+git0+760f5b3553-r0
libidn11 - 1.33-r0
libkmod2 - 23+git0+65a885df5f-r0.1
liblogging - 1.0.5-r0
libmbim - 1.14.0-r0
libmount1 - 2.29.1-r0
libmozjs - 17.0.0-r0
libncurses5 - 6.0+20161126-r0
libncursesw5 - 6.0+20161126-r0
libnl-3-200 - 1:3.2.29-r0
libnl-genl-3-200 - 1:3.2.29-r0
libnl-route-3-200 - 1:3.2.29-r0
libnm-util2 - 0.9.2.0-r0
libopkg1 - 1:0.3.4-r0.1
libpam - 1.3.0-r5
